Brand,Phone Model,Current Prices,Old Price,Discounts,description,Ratings,Stars
Apple,Apple 6 Plus,"₦ 69,940","₦ 310,060",77%,Apple 6 Plus 5.5 Inch 1GB + 16GB 8MP + 1.2MP Finger Sensor 4G LTE Smartphone ( Free Gift),,
Apple,Apple IPhone 5S,"₦ 3,641,366","₦ 7,241,366",50%,Apple IPhone 5S Apple 5S Mobile Phone 4.0 Inch Smart Phone For Senior Students And Backup White 32g,,
Apple,Apple IPhone 7Plus-5.5,"₦ 209,900","₦ 410,000",49%,Apple IPhone 7Plus-5.5 Inch 4G LET Smartphone 2GB+128GB 12MP Finger Sensor HD-Rose Gold,,
Apple,Apple IPhone 6Plus,"₦ 135,990","₦ 220,976",38%,"Apple IPhone 6Plus 5.5-Inch  Fingerprint Sensor HD (1GB, 128GB ROM) IOS 1.2 8MP+7MP Smartphone–Gold",,
Apple,Apple 12 Pro,"₦ 690,000",,,"Apple 12 Pro Max - 128GB, 6GB RAM, 6.7-Inch,(12MP+12MP+12MP) - Gold",,
Apple,Apple IPhone 6s,"₦ 74,500","₦ 189,000",61%,Apple IPhone 6s - 4.7 Inch 4G LET Smartphone 2GB+64GB 12MP Finger Sensor HD- Silver,,
Apple,Apple IPhone6S Plus,"₦ 97,300","₦ 198,600",51%,Apple IPhone6S Plus Refurbished 5.5Inch Smartphone 64GB(Gift)-Pink,,
Apple,Apple Iphone 5,"₦ 21,300","₦ 57,000",63%,Apple Iphone 5 Black 16gb Smart Phone- Mobile Phone 4-inch Screen (Gift：accessories)(Refurbished),36,3.4
Apple,Apple IPhone 6,"₦ 90,533",,,Apple IPhone 6 16GB (Refurbished) - Golden 4.7 Inch Sreen,,
Apple,Apple IPhone 6S,"₦ 115,200","₦ 235,200",51%,Apple IPhone 6S Plus Refurbished Smartphone 128GB (Gift)-Sliver,,
Apple,Apple IPhone 5C,"₦ 24,500","₦ 84,000",71%,Apple IPhone 5C 8GB Pink 4G -  4-inch Screen (Gift：accessories) Smart Phone(Refurbished）,,
Apple,Apple IPhone 7Plus-5.5,"₦ 197,890","₦ 410,000",52%,Apple IPhone 7Plus-5.5 Inch 4G LET Smartphone 2GB+32GB 12MP Finger Sensor HD-Gold,,
Apple,Apple Ipad Mini,"₦ 270,000","₦ 300,000",10%,"Apple Ipad Mini 4 (128gb, Wifi + Cellular) Space Gray 9.7",,
Apple,Apple IPhone 7-4.7,"₦ 152,900","₦ 400,000",62%,Apple IPhone 7-4.7 Inch Smartphone 2GB+128GB 12MP Finger Sensor 4G LTE (gift) HD-Red,,
Apple,Apple Iphone 12,"₦ 683,000",,,Apple Iphone 12 Pro Max 256GB - Graphite,,
Apple,Apple IPhone 5S-32G+1G,"₦ 48,700","₦ 78,990",38%,Apple IPhone 5S-32G+1G - 4.0 Inch Screen-8MP Pixel Refurbished 4G LTE ( Gift ) Smart Phone-Silver,,
Apple,Apple IPhone 5C-32G,"₦ 65,920","₦ 99,920",34%,Apple IPhone 5C-32G ROM+1G RAM - 4.0 Inch Screen-8MP Pixel Refurbished 4G LTE ( Gift ) Smart Phone-Green,,
Apple,Apple IPhone 4,"₦ 25,990",,,"Apple IPhone 4 - 8G, White (Refurbished) 3.5 - Inch Screen",,
Apple,Apple IPhone SE,"₦ 55,500","₦ 270,000",79%,Apple IPhone SE 64GB Grey 4G - Fingerprint Unlock  4-inch Screen (Gift：accessories)(Refurbished),,
Apple,Apple IPhone 5,"₦ 42,393",,,Apple IPhone 5 32GB - Black 4.0 Inch Screen (refurbished),7,3.9
Apple,Apple IPhone SE,"₦ 53,500","₦ 250,000",79%,Apple IPhone SE 32GB Grey 4G - Fingerprint Unlock  4-inch Screen (Gift：accessories)(Refurbished),,
Apple,Apple IPhone 5S,"₦ 28,500","₦ 72,000",60%,Apple IPhone 5S 32GB Silver 4G LTE Without Fingerprint (Refurbishment) 4-inch Screen (Gift：accessories),2,4
Apple,Apple Refurbished IPhone,"₦ 24,100","₦ 49,200",51%,Apple Refurbished IPhone 5C 8GB Green 4G LTE 4-inch Screen (Gift：accessories) Smart Phone-Pink,,
Tecno,"Tecno T901, 2.4inch,","₦ 12,500","₦ 14,000",11%,"Tecno T901, 2.4inch, Support YouTube, Whatsapp,KAi Store, 0.3MP+0.3MP Camera With Rear Flash,1900mAh, Black",,
Apple,Apple IPhone SE,"₦ 51,000","₦ 220,000",77%,Apple IPhone SE 16GB Grey 4G - Fingerprint Unlock  4-inch Screen (Gift：accessories)(Refurbished),,
Apple,Apple IPhone SE,"₦ 53,000","₦ 250,000",79%,Apple IPhone SE 32GB Silver 4G - Fingerprint Unlock  4-inch Screen (Gift：accessories)(Refurbished),,
Apple,Apple IPhone SE,"₦ 90,533",,,"Apple IPhone SE 32GB 4.0"" - Golden With Fingerprint(Refurbished)",,
Apple,Apple IPhone 6S,"₦ 85,500","₦ 174,500",51%,Apple IPhone 6S Refurbished Smartphone 128GB (Gift)-Gold,,
Apple,Apple IPhone 5SE-32G+1G,"₦ 74,890","₦ 199,000",62%,Apple IPhone 5SE-32G+1G - 4.0 Inch Screen-12MP Pixel Refurbished 4G LTE ( Gift ) Smart Phone-Rose Gold,,
Apple,Apple Brand IPhone,"₦ 110,780","₦ 140,857",21%,Apple Brand IPhone 6S 64GB 4.7 Inch IOS 9.0 Apple A9+M9 Dual Core 64bit Up To 1.8GHz Smartphone(Grey),,
Apple,Apple IPhone 5C-16G,"₦ 55,920","₦ 99,920",44%,Apple IPhone 5C-16G ROM+1G RAM - 4.0 Inch Screen-8MP Pixel Refurbished 4G LTE ( Gift ) Smart Phone-Yellow,,
Apple,Apple IPhone 7-4.7,"₦ 152,900","₦ 400,000",62%,Apple IPhone 7-4.7 Inch Smartphone  2GB+128GB 12MP Finger Sensor 4G LTE (gift) HD-Jet Black,1,4
Apple,Apple Iphone 5,"₦ 31,450","₦ 145,528",78%,Apple Iphone 5 1G RAM 16GB ROM IOS 3G 4.0 Inch 8MP ICloud WIFI GPS Phone,,
Apple,Apple 6 Plus,"₦ 89,655","₦ 310,060",71%,Apple 6 Plus 5.5 Inch 1GB + 16GB 8MP + 1.2MP Finger Sensor 4G LTE Smartphone – Gold,,
Apple,Apple IPhone6S Plus,"₦ 103,300","₦ 210,900",51%,Apple IPhone6S Plus Refurbished 5.5Inch Smartphone 64GB(Gift)-Gold,,
Apple,Apple IPhone 6S,"₦ 102,200","₦ 146,000",30%,Apple IPhone 6S Mobile Phone - 64GB - 4.7 Inch IOS 9.0 - Apple Smartphone - Gold,,
Apple,Apple Refurbished IPhone,"₦ 31,400","₦ 64,100",51%,Apple Refurbished IPhone 5C 32GB ROM 1GB RAM Mobile Phone -White,,
Apple,Apple IPhone 7Plus-5.5,"₦ 410,000",,,Apple IPhone 7Plus-5.5 Inch 4G LET Smartphone 2GB+32GB 12MP Finger Sensor HD-Red,,
Apple,Apple IPhone SE,"₦ 54,500","₦ 87,500",38%,Apple IPhone SE - 16GB+2GB RAM 12 MP+2MP- 4 Inch Fingerprint,,3.8
Apple,Apple 12 Pro,"₦ 780,000",,,"Apple 12 Pro Max - 256GB, 6GB RAM, 6.7-Inch,(12MP+12MP+12MP) - Graphite",,
Apple,Apple IPhone 6,"₦ 79,000","₦ 109,976",28%,"Apple IPhone 6 4.7-Inch  Fingerprint Sensor HD (1GB, 64GB ROM) IOS 1.2 8MP+7MP Smartphone–Silver",,
Apple,Apple IPhone 5S,"₦ 3,641,366","₦ 7,241,366",50%,Apple IPhone 5S Apple 5S Mobile Phone 4.0 Inch Smart Phone Golden 8GB For Senior Students And Backup,,
Apple,Apple IPhone 6,"₦ 137,437",,,"Apple IPhone 6 Plus 64GB - Golden (Refurbished) 5.5""",,
