Brand,Phone Model,Current Prices,Old Price,Discounts,description,Ratings,Stars
Apple,Apple Refurbished IPhone,"₦ 24,100","₦ 49,200",51%,Apple Refurbished IPhone 5C 8GB Green 4G LTE 4-inch Screen (Gift：accessories) Smart Phone-White,,
Apple,Apple Iphone 6S,"₦ 110,000",,,"Apple Iphone 6S 64gb Rose Gold & Free Pouch, Memory Card & Tempered Glass",,
Apple,Apple IPhone 7,"₦ 139,528","₦ 185,526",25%,"Apple IPhone 7 2GB  RAM+ 128GB 4.7"" Finger Sensor 4G Smartphone(Refurbishment)-Red",,
Apple,Apple IPhone 6s,"₦ 59,990","₦ 189,000",68%,Apple IPhone 6s - 4.7 Inch 4G LET Smartphone 2GB+16GB 12MP Finger Sensor HD- Gold,1,4
Apple,Apple IPhone 6,"₦ 69,940","₦ 310,060",77%,"Apple IPhone 6 Plus 16 GB 5.5"" IOS 4G Smartphone With Fingerprint Sensor(Refurbished)-Gold",6,4.2
Apple,Apple IPhone 6,"₦ 59,800","₦ 150,000",60%,Apple IPhone 6 4.7 Inch 1GB + 64GB 8MP + 1.2MP Finger Sensor 4G LTE Smartphone (Gift) – Silver,1,4
Apple,Apple IPhone 6,"₦ 77,100","₦ 96,500",20%,"Apple IPhone 6 Plus - 5.5"" - 16GB ROM + 1GB ROM - 8.0MP + 1.2MP - Fingerprint Smartphone - Gold",,
Apple,Apple IPhone 5s,"₦ 28,000","₦ 65,999",58%,Apple IPhone 5s Mobile Phones 4.0 Inch A7 Dual Core  WIFI 8MP IOS Smartphones,,
Apple,Apple IPhone 6,"₦ 150,000",,,Apple IPhone 6 Plus 5.5'' 64GB 8MP IOS Smartphone With Fingerprint (Refurbished）- Grey,3,4.3
Apple,Apple IPhone 5,"₦ 20,400","₦ 45,999",56%,Apple IPhone 5 - 16G - 4.0 Inch Screen - 8MP Pixel Ios Smart Phone,,
Apple,Apple IPhone SE,"₦ 55,100","₦ 112,500",51%,Apple IPhone SE Refurbished Smartphone 4inch 2+32GB (Gift)-Rose Gold,1,5
Apple,Apple Brand IPhone,"₦ 116,260","₦ 153,843",24%,Apple Brand IPhone 6S 128GB 4.7 Inch IOS 9.0 Apple A9+M9 Dual Core 64bit Up To 1.8GHz Smartphone(Silver),,
Apple,Apple IPhone 5,"₦ 46,096",,,Apple IPhone 5 64GB - Black 4.0 Inch Screen (refurbished),1,2
Apple,Apple IPhone 7,"₦ 92,500","₦ 188,800",51%,Apple IPhone 7 4.7 Inch Refurbished Smartphone 32GB - Black,,
Apple,Apple IPhone 6,"₦ 58,500","₦ 150,000",61%,Apple IPhone 6 4.7 Inch 1GB + 64GB 8MP + 1.2MP Finger Sensor 4G LTE Smartphone (Free Gift) –black,2,5
Apple,Apple IPhone 6,"₦ 76,277","₦ 232,708",67%,Apple IPhone 6 4.7 Inch 1GB + 32GB 8MP + 1.2MP Finger Sensor 4G LTE Smartphone – Gold,,
Apple,Apple Brand IPhone,"₦ 116,260","₦ 153,843",24%,Apple Brand IPhone 6S 128GB 4.7 Inch IOS 9.0 Apple A9+M9 Dual Core 64bit Up To 1.8GHz Smartphone(Grey),1,1
Apple,Apple IPhone 6s,"₦ 70,000","₦ 189,000",63%,Apple IPhone 6s - 4.7 Inch 4G LET Smartphone 2GB+16GB 12MP Finger Sensor HD- Gold,,
Apple,Apple IPhone 7,"₦ 198,000",,,"Apple IPhone 7 4.7 Inch 128GB ROM+2GB RAM (Refurbished,99%New) 12MP+7MP-Black",1,5
Apple,Apple IPhone 12,"₦ 631,999","₦ 700,000",10%,Apple IPhone 12 Pro (128 GB) - Graphite,,
Apple,Apple IPhone 6Plus,"₦ 79,990","₦ 199,976",60%,"Apple IPhone 6Plus 5.5-Inch Fingerprint Sensor HD (1GB, 64GB ROM)IOS 1.2 8MP+7MP Smartphone–Grey",,
Apple,Apple IPhone XR,"₦ 285,999","₦ 565,000",49%,"Apple IPhone XR (3GB RAM, 128GB ROM) IOS 12 (12MP+7MP) - Blue",,
Apple,Apple IPhone 6,"₦ 73,109","₦ 232,708",69%,Apple IPhone 6 Refurbished 4.7 Inch 1GB + 16GB 8MP + 1.2MP Finger Sensor 4G LTE Smartphone (Free Gift) – Silver,,
Apple,Apple Iphone 5,"₦ 31,450","₦ 157,752",80%,Apple Iphone 5 Refurbished White 16gb Smart Phone Mobile Phone 4-inch Screen (Gift：accessories),,
Apple,Apple Refurbished Apple,"₦ 83,600","₦ 170,700",51%,Apple Refurbished Apple IPhone 6 Plus Smartphone 5.5inch 64GB-Grey,1,5
Apple,Apple Refurbished Apple,"₦ 83,600","₦ 170,700",51%,Apple Refurbished Apple IPhone 6 Plus Smartphone 5.5inch 64GB-Silver,,
Apple,Apple IPhone 6,"₦ 59,500 - ₦ 64,700","₦ 108,500",45%,Apple IPhone 6 Dual Core 4.7 Inches 1GB RAM 16/64/128GB ROM 8MP Camera  LTE IOS Smartphone,,
Apple,Apple IPhone 6,"₦ 180,000",,,Apple IPhone 6 Plus 5.5 Inch 1GB + 16GB 8MP + 1.2MP Finger Sensor 4G LTE Smartphone ( Free Gift) – Silver,4,5
Apple,Apple IPhone X,"₦ 250,000",,,"Apple IPhone X 5.8-Inches Super AMOLED (3GB RAM, 256GB ROM) IOS 11.1.1, (12MP + 12MP) + 7MP 4G LTE Smartphone - Gray",4,3
Apple,Apple IPhone 6,"₦ 72,990","₦ 189,000",61%,Apple IPhone 6 Plus 5.5'' 16GB ROM 8MP IOS Smartphone With Fingerprint Sensor(Refurbished)-Grey,,
Apple,Apple Refurbished IPhone,"₦ 24,100","₦ 49,200",51%,Apple Refurbished IPhone 5C 8GB Green 4G LTE 4-inch Screen (Gift：accessories) Smart Phone-Green,1,4
Apple,Apple IPhone 6,"₦ 49,800","₦ 104,976",53%,"Apple IPhone 6 4.7-Inch  Fingerprint Sensor HD (1GB, 16GB ROM) IOS 1.2 8MP+7MP Smartphone–Gold",,
Apple,Apple IPhone 6,"₦ 93,000",,,Apple IPhone 6 Plus - 16GB ROM - 1GB RAM - 5.5' -  Smartphone Phone,1,5
Apple,Apple IPhone 11,"₦ 360,000",,,"Apple IPhone 11 6.1-Inch Liquid Retina LCD (4GB RAM, 64GB ROM) IOS 13, (12MP+12MP)+12MP 4G LTE Smartphone - Purple",,
Apple,Apple Refurbished IPhone,"₦ 31,400","₦ 64,100",51%,Apple Refurbished IPhone 5C 32GB ROM 1GB RAM Mobile Phone -Pink,,
Apple,Apple IPhone 7-4.7,"₦ 91,690","₦ 400,000",77%,Apple IPhone 7-4.7 Inch Smartphone  2GB+32GB 12MP Finger Sensor 4G LTE (gift) HD-Matte Black,1,5
Apple,Apple Iphone 5,"₦ 32,647","₦ 157,752",79%,Apple Iphone 5 Refurbished White 16gb Smart Phone Mobile Phone 4-inch Screen (Gift：accessories),1,4
Apple,Apple Iphone 6,"₦ 69,940","₦ 310,060",77%,Apple Iphone 6 Plus Refurbished 5.5 Inch 1GB + 16GB 8MP + 1.2MP Finger Sensor 4G LTE Smartphone – Silver,,
Apple,Apple IPhone 6,"₦ 69,940","₦ 232,708",70%,"Apple IPhone 6 Refurbished Plus 16 GB 5.5"" IOS 4G Smartphone With Fingerprint Sensor(Refurbished)-Silver",,
Apple,Apple IPhone X,"₦ 220,000",,,Apple IPhone X (64GB) - SILVER,2,4.5
Apple,Apple IPhone 5S,"₦ 28,500","₦ 50,784",44%,Apple IPhone 5S - 16GB+1GB -8 MP- 4 Inch -Fingerprint Unlock  Refurbished Smart Phone,60,4.1
Apple,Apple Iphone 6,"₦ 69,940","₦ 310,060",77%,Apple Iphone 6 Plus Refurbished 5.5 Inch 1GB + 16GB 8MP + 1.2MP Finger Sensor 4G LTE Smartphone ( Free Gift) – Silver,1,5
Apple,Apple IPhone 11,"₦ 332,999","₦ 360,000",8%,"Apple IPhone 11 6.1-Inch Liquid Retina LCD (4GB RAM, 64GB ROM) IOS 13, (12MP+12MP)+12MP 4G LTE Smartphone-Red",1,5
Apple,Apple IPhone 7-4.7,"₦ 116,900","₦ 400,000",71%,Apple IPhone 7-4.7 Inch Smartphone  2GB+32GB 12MP Finger Sensor 4G LTE (gift) HD-Matte Black,,
Apple,Apple IPhone 6S,"₦ 102,200","₦ 146,000",30%,Apple IPhone 6S Mobile Phone - 64GB - 4.7 Inch IOS 9.0 - Apple Smartphone - Rose Gold,,
Apple,Apple IPhone 7,"₦ 92,500","₦ 188,800",51%,Apple IPhone 7 4.7 Inch Refurbished Smartphone 32GB - Gold,1,5
Apple,Apple Iphone 6,"₦ 69,940","₦ 310,060",77%,Apple Iphone 6 Plus Refurbished 5.5 Inch 1GB + 16GB 8MP + 1.2MP Finger Sensor 4G LTE Smartphone ( Free Gift) – Silver,,
Apple,Apple IPhone 5,"₦ 20,400","₦ 45,999",56%,Apple IPhone 5 4.0Inch 16GB ROM+1GB RAM 8MP+1.2MP 95% New,,
Apple,Apple Iphone 6,"₦ 120,000",,,"Apple Iphone 6 Plus 64gb Gold, Free Pouch And Tempered Glass",,
Apple,Apple Iphone 5,"₦ 23,500","₦ 40,000",41%,Apple Iphone 5 White 16gb Smart Phone Mobile Phone 4-inch Screen(Gift：accessories),1,5
Apple,Apple IPhone 4s,"₦ 22,766","₦ 65,816",65%,Apple IPhone 4s 32GB  3.5'' IOS 3.5'' 8MP Smart Phone IOS 99% New ( Refurbished) - Black,,
Apple,Apple Refurbished IPhone,"₦ 24,100","₦ 49,200",51%,Apple Refurbished IPhone 5C 8GB Green 4G LTE 4-inch Screen (Gift：accessories) Smart Phone-Blue,,
Apple,Apple Refurbished Apple,"₦ 44,200","₦ 90,300",51%,Apple Refurbished Apple IPhone 5s Smartphone 64GB-Silver,1,4
Apple,Apple Refurbished Apple,"₦ 91,500","₦ 186,800",51%,Apple Refurbished Apple IPhone 6 Plus Smartphone 5.5inch 128GB-Grey,,
Apple,Apple IPhone 11,"₦ 450,000",,,"Apple IPhone 11 Pro 5.8-Inch Super Retina XDR OLED (4GB RAM, 64GB ROM),iOS 13, (12MP+12MP+12MP)+12MP 4G LTE Smartphone - Space Grey",3,5
Apple,Apple IPhone 5S,"₦ 32,500","₦ 50,784",36%,Apple IPhone 5S - 16GB+1GB -8 MP- 4 Inch -Fingerprint Unlock  Refurbished Smart Phone,1,4
Apple,Apple IPhone 7,"₦ 107,100","₦ 133,875",20%,Apple IPhone 7 - 4.7 Inch - 32GB ROM - 2GB RAM - Refurbished Smartphone - Black,,
Apple,Apple IPhone X,"₦ 220,000",,,Apple IPhone X (64GB) - SPACE GRAY ,,4.6
Apple,Apple IPhone 4s,"₦ 19,715","₦ 56,090",65%,Apple IPhone 4s 16 GB 3.5'' IOS 3.5'' 16GB 8MP Smart Phone IOS 99% New ( Refurbished) - Black/White,,
Apple,Apple IPhone SE,"₦ 47,200","₦ 96,400",51%,Apple IPhone SE Refurbished Smartphone 4inch 2+16GB (Gift)- Silver,,
Apple,Apple  IPhone,"₦ 20,400","₦ 45,999",56%,Apple  IPhone 5 - 16GB ROM +1GB RAM -8 MP- 4 Inch - IOS Smartphones,,
Apple,Apple IPhone 7,"₦ 137,100","₦ 175,829",22%,Apple IPhone 7 Mobile Phone - 32GB - 3D Touch IPS Technology - 4.7 Inch IOS 10 - Silver,,
Apple,Apple IPhone XR,"₦ 244,000","₦ 435,000",44%,"Apple IPhone XR (3GB RAM, 64GB ROM) IOS 12 (12MP+7MP) - Black",,
Apple,Apple IPhone XS,"₦ 280,000","₦ 495,000",43%,Apple IPhone XS 64GB - 1 Year Warranty - Silver,,
Apple,Apple IPhone 7-4.7,"₦ 92,500","₦ 400,000",77%,Apple IPhone 7-4.7 Inch 4G LET Smartphone 2GB+32GB 12MP Finger Sensor HD-Rose Gold,,
Apple,Apple IPhone 6,"₦ 59,800","₦ 150,000",60%,Apple IPhone 6 4.7 Inch 1GB + 32GB 8MP + 1.2MP Finger Sensor 4G LTE Smartphone (Free Gift) – Silver,1,5
Apple,Apple IPhone XR,"₦ 280,000",,,"Apple IPhone XR (3GB RAM, 128GB ROM) IOS 12 (12MP+7MP) - Red",,
Apple,Apple IPhone 7,"₦ 156,840","₦ 201,500",22%,Apple IPhone 7 128GB 4.7 Inch Quad Core IOS 10 12MP Camera Smartphone (Rose Gold),,
Apple,Apple IPhone 6,"₦ 89,655","₦ 310,060",71%,Apple IPhone 6 Plus 5.5 Inch 1GB + 16GB 8MP + 1.2MP Finger Sensor 4G LTE Smartphone – Gold,,
Apple,Apple IPhone 7,"₦ 164,520","₦ 221,014",26%,Apple IPhone 7 256GB 4.7 Inch Quad Core IOS 10 12MP Camera Smartphone(Red),,
Apple,Apple IPhone SE,"₦ 55,100","₦ 112,500",51%,Apple IPhone SE Refurbished Smartphone 4inch 2+32GB (Gift)-Silver,,
Apple,Apple IPhone 6S,"₦ 65,800","₦ 147,800",55%,Apple IPhone 6S 4.7 Inch 2GB + 16GB 12MP + 5MP 3D Touch 4G LTE Smartphone (Gift) – Silver,,
Apple,Apple IPhone 6,"₦ 56,600","₦ 115,600",51%,Apple IPhone 6 16GB - Grey With Fingerprint (Refurbished) 4G LTE Smartphone (Gift)-Silver,,
Apple,Apple IPhone 5,"₦ 20,400","₦ 45,999",56%,Apple IPhone 5 - 16GB ROM +1GB RAM -8 MP- 4 Inch - Apple Smartphones 95% New,,
Apple,Apple IPhone 5s,"₦ 83,000",,,Apple IPhone 5s 4.0-Inch 16GB ROM+1GB RAM (Refurbished) 8MP+1.2MP-Blcak,3,4.3
Apple,Apple IPhone 5,"₦ 20,400","₦ 45,999",56%,Apple IPhone 5 - 16GB ROM +1GB RAM -8 MP- 4 Inch - Apple Smartphones,1,5
Apple,Apple IPhone 5S,"₦ 32,500","₦ 70,000",54%,Apple IPhone 5S - 16GB+1GB -8 MP- 4 Inch -Fingerprint Unlock  Refurbished Smart Phone-Black,1,5
Apple,Apple Iphone 6,"₦ 125,000",,,"Apple Iphone 6 Plus 64gb Space Grey, Free Pouch, Screen Protector, 6000 MAh Power Bank",,
Apple,Apple IPhone XS,"₦ 340,000",,,"Apple IPhone XS Max (4GB RAM, 256GB ROM) IOS 12 (12MP + 12MP)+7MP Rom-Gold",2,5
Apple,Apple IPhone 7,"₦ 102,400","₦ 209,000",51%,Apple IPhone 7 4.7 Inch Refurbished Smartphone 128GB - Gold,,
Apple,Apple IPhone 6,"₦ 76,277","₦ 232,708",67%,Apple IPhone 6 Refurbished 4.7 Inch 1GB + 32GB 8MP + 1.2MP Finger Sensor 4G LTE Smartphone (Free Gift) – Gold,18,3.9
Apple,Apple IPhone 6,"₦ 56,600","₦ 115,600",51%,Apple IPhone 6 16GB With Fingerprint (Refurbished) 4G LTE Smartphone (Gift)-Gold,,
Apple,Apple IPhone 8,"₦ 121,700","₦ 135,300",10%,"Apple IPhone 8 4.7 Inch 64GB ROM+2GB RAM (Refurbished,Free Gift) 12MP+7MP-Silver",3,3
Apple,Apple Refurbished IPhone,"₦ 24,100","₦ 49,200",51%,Apple Refurbished IPhone 5C 8GB Green 4G LTE 4-inch Screen (Gift：accessories) Smart Phone-Yellow,1,5
Apple,Apple Refurbished Apple,"₦ 34,400","₦ 70,300",51%,Apple Refurbished Apple IPhone 5s Smartphone 1+16GB-Dark Grey,,
Apple,Apple IPhone 8,"₦ 145,400","₦ 158,300",8%,"Apple IPhone 8 4.7 Inch 256GB ROM+2GB RAM (Refurbished,Free Gift) 12MP+7MP-Red",,
Apple,Apple IPhone 7-4.7,"₦ 92,500","₦ 400,000",77%,Apple IPhone 7-4.7 Inch Smartphone  2GB+32GB 12MP Finger Sensor 4G LTE (gift) HD-Matte Black,,
Apple,Apple IPhone 5,"₦ 20,400","₦ 45,999",56%,Apple IPhone 5 - 16GB ROM +1GB RAM -8 MP- 4 Inch - Apple Smartphones,,
Apple,Apple IPhone 6,"₦ 73,109","₦ 232,708",69%,Apple IPhone 6 Refurbished 4.7 Inch 1GB + 16GB 8MP + 1.2MP Finger Sensor 4G LTE Smartphone (Free Gift) – Silver,3,1.7
Apple,Apple IPhone 8,"₦ 145,400","₦ 158,300",8%,"Apple IPhone 8 4.7 Inch 256GB ROM+2GB RAM (Refurbished,Free Gift) 12MP+7MP-Black",,
Apple,Apple Refurbished IPhone,"₦ 99,500","₦ 180,000",45%,"Apple Refurbished IPhone 7 4.7-Inch HD (2GB, 128GB ) IOS 13 12MP + 7MP 99%New Smartphone - Silver",,
Apple,Apple Refurbished Apple,"₦ 34,400","₦ 70,300",51%,Apple Refurbished Apple IPhone 5s Smartphone 1+16GB 8 MP-Gold,2,4.5
Apple,Apple Iphone 6,"₦ 120,000",,,"Apple Iphone 6 Plus 64gb Silver, Free Pouch, Screen Protector, 6000 MAh Power Bank",,
Apple,Apple IPhone 6S,"₦ 113,100","₦ 141,375",20%,Apple IPhone 6S Plus - 5.5'' - 128GB ROM - 2GB RAM - 12MP + 5MP - Fingerprint Smartphone - Gold,,
Apple,Apple IPhone 6,"₦ 69,940","₦ 310,060",77%,"Apple IPhone 6 Plus 16 GB 5.5"" IOS 4G Smartphone With Fingerprint Sensor(Refurbished)-Black",,
Apple,Apple IPhone 12,"₦ 484,999","₦ 600,000",19%,Apple IPhone 12 (128GB) - Black,,
Apple,Apple IPhone 7,"₦ 119,999","₦ 198,000",39%,"Apple IPhone 7 4.7 Inch 128GB ROM+2GB RAM (Refurbished,99%New) 12MP+7MP-Red",3,4.3
Apple,Apple Refurbished Apple,"₦ 73,800","₦ 150,700",51%,Apple Refurbished Apple IPhone 6 Plus Smartphone 5.5inch 64GB-Gold,3,4.3
Apple,Apple IPhone SE,"₦ 57,500","₦ 91,176",37%,Apple IPhone SE - 64GB+2GB -12 MP+2MP- 4 Inch+4G Network + Fingerprint Unlock Refurbished Smart Phone,13,4.4
Apple,Apple Refurbished Apple,"₦ 39,300","₦ 80,300",51%,Apple Refurbished Apple IPhone 5s Smartphone 32GB-Dark Grey,,
Apple,Apple IPhone 11,"₦ 335,000",,,"Apple IPhone 11 6.1-Inch Liquid Retina LCD (4GB RAM, 64GB ROM) IOS 13, (12MP+12MP)+12MP 4G LTE Smartphone - White",,
Apple,Apple IPhone 6,"₦ 84,999","₦ 141,157",40%,Apple IPhone 6 Plus 5.5'' 64GB 8MP IOS Smartphone With Fingerprint (Refurbished）- Gold,17,3.3
Apple,Apple IPhone 6s,"₦ 130,000",,,Apple IPhone 6s 4.7 Inch 16GB ROM+2GB-12MP+5MP-With Fingerprint(Refurbished)-Silver,2,5
Apple,Apple IPhone 5,"₦ 20,400","₦ 45,999",56%,Apple IPhone 5 16GB+1GB 4'' Mobile Phone 8MP,1,4
Apple,Apple Iphone 5,"₦ 23,500","₦ 42,941",45%,Apple Iphone 5 White 16gb Smart Phone Mobile Phone 4-inch Screen(Gift：accessories),19,3.9
Apple,Apple IPhone 8,"₦ 146,700","₦ 299,400",51%,"Apple IPhone 8 4.7 Inch 256GB ROM+2GB RAM (Refurbished,Free Gift) 12MP+7MP-Gold",1,5
Apple,Apple IPhone 6s,"₦ 80,600","₦ 164,500",51%,Apple IPhone 6s Refurbished 4.7 Inch Smartphone 64GB (Gift)- Pink,,
Apple,Apple IPhone6S -,"₦ 65,580","₦ 113,850",42%,Apple IPhone6S - 16GB ROM - 2GB RAM - 4.7' - Rfurb Smartphone IPhone - Gold,,
Apple,Apple IPhone XR,"₦ 244,000","₦ 435,000",44%,"Apple IPhone XR (3GB RAM, 64GB ROM) IOS 12 (12MP+7MP) - Red",,
Apple,Apple IPhone 6,"₦ 71,000","₦ 106,857",34%,Apple IPhone 6 Mobile Phone 16GB 4.7 Inch IOS 8.0 Apple A8+M8 Dual Core Up To 1.4GHz Smartphone - Grey,,
Apple,Apple IPhone 7,"₦ 168,000",,,"Apple IPhone 7 4.7 Inch 32GB ROM+2GB RAM (Refurbished,99%New) 12MP+7MP-Gold",,
Apple,Apple IPhone 6,"₦ 76,277","₦ 232,708",67%,Apple IPhone 6 4.7 Inch 1GB + 32GB 8MP + 1.2MP Finger Sensor 4G LTE Smartphone (Free Gift) – Grey,4,3.6
Apple,Apple IPhone 6S,"₦ 102,200","₦ 146,000",30%,Apple IPhone 6S 64GB Smartphone With Finger Sensor 4G LTE - Grey,,
Apple,Apple IPhone 6S,"₦ 85,500","₦ 174,500",51%,Apple IPhone 6S Refurbished Smartphone 128GB(Gift)-Rose Gold,,
Apple,"Apple IPhone 11,","₦ 345,000",,,"Apple IPhone 11, 6.1-Inch 64GB ROM 4G LTE Single Nano SIM - Black",,
Apple,Apple IPhone X,"₦ 188,400","₦ 207,200",9%,Apple IPhone X - 5.8'' - 3GB RAM + 64GB ROM - Refurbished Smartphone - White,3,4
Apple,Apple IPhone 11,"₦ 335,000",,,"Apple IPhone 11 6.1-Inch Liquid Retina LCD (4GB RAM, 64GB ROM) IOS 13, (12MP+12MP)+12MP 4G LTE Smartphone-Nano Sim-PURPLE",,
Apple,Apple IPhone 7,"₦ 174,900","₦ 210,000",17%,Apple IPhone 7 Plus - 5.5'' - 128GB ROM + 3GB RAM - Refurbished Smartphone - Rose Gold,,
Apple,Apple IPhone 6,"₦ 49,800","₦ 109,976",55%,"Apple IPhone 6 4.7-Inch  Fingerprint Sensor HD (1GB, 16GB ROM) IOS 1.2 8MP+7MP Smartphone–Silver",1,5
Apple,Apple IPhone 11,"₦ 359,900","₦ 400,000",10%,"Apple IPhone 11 6.1''- Liquid Retina LCD (4GB RAM,128GB ROM) IOS 13, (12MP+12MP)+12MP 4G LTE-Smartphone- Black",1,2
Apple,Apple IPhone 12,"₦ 699,999","₦ 750,000",7%,Apple IPhone 12 Pro (256 GB) - Gold,,
Apple,Apple IPhone 8,"₦ 192,000",,,"Apple IPhone 8 Plus 5.5-Inch HD (3GB,64GB ROM) IOS 11, 12MP + 7MP 4G Smartphone ,Gold",,
Apple,Apple Refurbished IPhone,"₦ 31,400","₦ 64,100",51%,Apple Refurbished IPhone 5C 32GB ROM 1GB RAM Mobile Phone - Blue,1,4
Apple,Apple IPhone 6s,"₦ 67,200","₦ 137,200",51%,Apple IPhone 6s Refurbished Smartphone 4.7inch 16GB (Gift)- Grey,1,4
Apple,Apple Iphone 6,"₦ 120,000",,,"Apple Iphone 6 Plus 64gb Space Grey (5.5 Inch) & 15000 MAH Power Bank,",,
Apple,Apple IPhone 8,"₦ 121,700","₦ 135,300",10%,"Apple IPhone 8 4.7 Inch 64GB ROM+2GB RAM (Refurbished,Free Gift) 12MP+7MP-Red",2,4.5
Apple,Apple IPhone SE,"₦ 55,100","₦ 112,500",51%,Apple IPhone SE Refurbished Smartphone 4inch 2+32GB (Gift)- Space Gray,1,5
Apple,Apple IPhone XS,"₦ 380,000","₦ 500,000",24%,"Apple IPhone XS Max (4GB RAM, 64GB ROM) IOS 12 (12MP + 12MP)+7MP (e-Sim) - Space Grey",9,3.9
Apple,Apple IPhone 6S,"₦ 77,100","₦ 96,375",20%,Apple IPhone 6S - 4.7'' - 16GB ROM + 2GB RAM - IOS 11 - 12MP + 5.0MP - Fingerprint Smartphone - Silver,,
Apple,Apple IPhone X,"₦ 285,000","₦ 650,000",56%,"Apple IPhone X 5.8-Inches Super AMOLED (3GB RAM, 256GB ROM) IOS 11.1.1, (12MP + 12MP) + 7MP 4G LTE Smartphone - Silver",14,4.3
Apple,Apple IPhone 6,"₦ 61,800","₦ 180,000",66%,Apple IPhone 6 Plus 5.5 Inch 1GB + 16GB 8MP + 1.2MP Finger Sensor 4G LTE Smartphone ( Free Gift) – Gold,100,4.3
Apple,Apple IPhone 7,"₦ 205,000",,,Apple IPhone 7 Plus 128GB - Rose Gold,1,5
Apple,Apple Iphone 6,"₦ 120,000",,,"Apple Iphone 6 Plus 64gb Gold (5.5 Inch) & 15000 MAH Power Bank,",,
Apple,Apple IPhone 12-6.1,"₦ 429,000","₦ 530,000",19%,"Apple IPhone 12-6.1 Inches -(64GB +4gb Ram),IOS 14-Dual Camera (wide And Ultra Wide Camera) 5G, Black",,
Apple,Apple IPhone 8,"₦ 195,000",,,"Apple IPhone 8 4.7-Inch HD (2GB,64GB ROM) IOS 11, 12MP + 7MP 4G Smartphone - Gold",1,4.3
Apple,Apple IPhone 12,"₦ 631,999","₦ 700,000",10%,Apple IPhone 12 Pro (128 GB) - Gold,,
Apple,Apple IPhone 6,"₦ 73,800","₦ 180,000",59%,Apple IPhone 6 Plus 5.5 Inch 1GB + 16GB 8MP + 1.2MP Finger Sensor 4G LTE Smartphone ( Free Gift) – Gold,1,4
Apple,Apple Iphone 12,"₦ 673,500",,,Apple Iphone 12 Pro 128GB - Gold,,
Apple,Apple IPhone 7,"₦ 156,500","₦ 319,400",51%,Apple IPhone 7 Plus 5.5 Inch Refurbished Smartphone 128GB-Black,,
Apple,Apple IPhone 8,"₦ 211,700","₦ 264,000",20%,"Apple IPhone 8 Plus 5.5-Inch HD (3GB, 64GB ROM) IOS 11, 12MP 4G Smartphone - Silver",,
Apple,Apple IPhone 12,"₦ 665,999","₦ 800,999",17%,"Apple IPhone 12 Pro Max - 128GB, 6GB RAM, 6.7-Inch,(12MP+12MP+12MP) - Graphite",,
Apple,Apple IPhone 8,"₦ 270,900","₦ 403,071",33%,"Apple IPhone 8 Plus (64GB ROM, 3GB RAM) 5.5 Inch HD IOS 11.0 12MP Smartphone - Gray",2,4.5
Apple,Apple IPhone 6s,"₦ 80,600","₦ 164,500",51%,Apple IPhone 6s Refurbished 4.7 Inch Smartphone 64GB (Gift)- Gold,,
Apple,Apple IPhone XR,"₦ 337,500",,,"Apple IPhone XR (3GB RAM, 128GB ROM) - Black",1,5
Apple,Apple IPhone 8,"₦ 145,400","₦ 158,300",8%,"Apple IPhone 8 4.7 Inch 256GB ROM+2GB RAM (Refurbished,Free Gift) 12MP+7MP-Gold",,
Apple,Apple IPhone XS,"₦ 320,000",,,"Apple IPhone XS Max (4GB RAM, 64GB ROM) IOS 12 (12MP + 12MP)+7MP 4G Smartphone -  Grey",1,5
Apple,Apple IPhone 6S,"₦ 55,950","₦ 125,850",56%,Apple IPhone 6S - 16GB ROM - 2GB RAM - 4.7' - Rfurb Smartphone IPhone - Gold,1,5
Apple,Apple Refurbished IPhone7,"₦ 99,500","₦ 155,800",36%,"Apple Refurbished IPhone7 4.7-Inch HD (2GB, 128GB ROM) IOS 13 12MP + 7MP Smartphone - Black",4,5
Apple,Apple IPhone 8,"₦ 180,600","₦ 189,000",4%,"Apple IPhone 8 Plus 5.5 Inch 64GB ROM+3GB RAM (Refurbished,Free Gift) 12MP+7MP-Gold",1,5
Apple,Apple IPhone 6,"₦ 51,800","₦ 120,000",57%,Apple IPhone 6 4.7 Inch 1GB + 16GB 8MP Finger Sensor 4G Smartphone (Free Gift) – Gold,30,4.3
Apple,Apple Refurbished Apple,"₦ 39,300","₦ 80,300",51%,Apple Refurbished Apple IPhone 5s Smartphone 32GB-Silver,,
Apple,"Apple IPhone 11,","₦ 365,000",,,"Apple IPhone 11, 6.1-Inch 128GB ROM 4G LTE Single Nano SIM - Black",,
Apple,Apple IPhone 12,"₦ 631,999","₦ 700,000",10%,Apple IPhone 12 Pro (128 GB) - Pacific Blue,,
Apple,Apple Iphone 5,"₦ 23,500","₦ 50,000",53%,Apple Iphone 5 Black 16gb Smart Phone Mobile Phone 4-inch Screen(Gift：accessories),,
Apple,Apple IPhone 11,"₦ 570,000",,,"Apple IPhone 11 Pro Max 6.5'' Super Retina (4GB RAM, 256GBROM),iOS 13,(12MP+12MP+12MP)+12MP 4G LTE Smartphone-Gray",,
Apple,"Apple IPhone 11,","₦ 360,000",,,"Apple IPhone 11, 6.1-Inch 128GB ROM 4G LTE Single Nano SIM - Black",,
Apple,Apple IPhone SE,"₦ 47,200","₦ 96,400",51%,Apple IPhone SE Refurbished Smartphone 4inch 2+16GB (Gift)- Gray,,
