Brand,Laptop Model,Current Prices,Old Price,Discounts,description,Ratings,Stars
Asus,Asus X543UA Intel,"₦ 230,000","₦ 250,000",8%,Asus X543UA Intel Core I3 4GB RAM 1TB HDD 15.6-inch HDD Win10,,
DELL,DELL XPS 13,"₦ 725,000","₦ 730,000",1%,DELL XPS 13 9300 10TH GEN CORE I7 512GB 16GB 13.4’’ FULL HD+,,
Hp,Hp Pavilion 15,"₦ 356,000","₦ 390,000",9%,"Hp Pavilion 15 10th Gen Intel Core I5, 12GB Ram, 1TB HDD  Backlit Keyboard Wins 10",1,5
Hp,Hp Pavilion 15,"₦ 345,000",,,"Hp Pavilion 15 Intel Core I5 2.5GHz (8GB RAM, 1TB HDD)32GB Flash,Mouse, 15-Inch Windows 10 Laptop - White",,
Hp,Hp Pavilion 15,"₦ 348,000","₦ 360,000",3%,Hp Pavilion 15 X360 Intel Core 13 8gb Ram 1tb Hdd Touchscreen + 32gb Flashdrive + Headfone+ Ledlamp ,6,3.7
Hp,Hp ENVY 15,"₦ 600,500",,,Hp ENVY 15 CI7 16GB 512SSD 4GB NVIDIA FINGERPRINT TOUCH WIN 10,,
Hp,Hp ProBook X360,"₦ 197,000","₦ 230,000",14%,Hp ProBook X360 11 Touch Screen Intel Celeron 128gb SSD 4gb Win 10 Ultrabook Tablet +32gb Flash Drive,,
Acer,Acer Predator Helios,"₦ 790,000",,,Acer Predator Helios Gaming Laptop  10th Gen Intel I7 512ssd 16gb 6gb Nvidia Geforce RTX 2060 15 Inch,,
Hp,"Hp 250 G7,","₦ 307,500",,,"Hp 250 G7, Intel Core I5 (10th Gen), 1Tb Hdd, 8gb Ram, Webcam, Bluetooth,Win 10 Pro.",,
Hp,Hp  Pavilion,"₦ 450,000",,,Hp  Pavilion 15 Intel Corei7 512gb Ssd/8gb Ram Touchscreen/backlikey Board+32 Flash Mouse,,
500W,500W PC Power,"₦ 5,389","₦ 10,778",50%,500W PC Power Supply 24 Pin  ATX SATA Computer 120mm Silent LED Cooling Fan-Black (black),,
Hp,Hp Envy 15,"₦ 632,000",,,"Hp Envy 15 X360 Intel Core I7 8th Gen (16GB RAM,512SSD,4GB NVIDIA GeForce +1TB External HDD) Windows 10 - Silver",,
Hp,Hp SPECTRE 15-EB0043DX,"₦ 810,000",,,"Hp SPECTRE 15-EB0043DX X360;Core I7-10TH Gen,16gb RAM,512SSD+32GB Optane,2GB Nvidia,TOUCH,Win 10",,
Hp,Hp 240 Intel,"₦ 240,000",,,"Hp 240 Intel Core I3 14 Inch 1TB HDD, 4GB RAM +10,000mah Powerbank",,
DELL,DELL LATITUDE 5290,"₦ 431,220",,,"DELL LATITUDE 5290 2-IN-1,Core I7,16gb,128gb SSD,12.3”,Wins 10pro",,
Hp,Hp Pavilion 15,"₦ 430,000","₦ 450,000",4%,"Hp Pavilion 15 Intel Core I7 (16GB RAM, 512 SSD)-Windows 10",,
Hp,Hp NOTEBOOK 15,"₦ 445,000",,,"Hp NOTEBOOK 15 CORE I7 10TH GEN, 512GB SSD 16GB RAM TOUCHSCREEN WIN 10",,
Hp,Hp Pavilion 14,"₦ 320,000",,,"Hp Pavilion 14 X360 (1TB, 4GB Intel)Core I3 2.2 UpTo 3.4Ghz Wins 10",,
Hp,Hp Notebook 15,"₦ 234,000","₦ 240,000",3%,"Hp Notebook 15 Intel Core I3 (8GB RAM, 1TB HDD) 32GB Flash+Mouse+USB Light For Keyboard 15.6-Inch Windows 10 Black Colour",2,4
Hp,Hp 15 Intel,"₦ 238,000",,,"Hp 15 Intel Core I3-2.0Ghz (8gb Ram,1TB Hdd )Windows 10",,
DELL,DELL INSPIRON 5593,"₦ 525,000","₦ 540,000",3%,DELL INSPIRON 5593 I7 512GB 16GB 10TH GEN 3.9GHZ 15.6 NON-TOUCH,,
Hp,Hp Notebook 15,"₦ 212,000",,,Hp Notebook 15 - AMD RYZEN™ (8GB RAM 1TB HDD-WIN 10+ 32GB Flash,,
Hp,Hp Stream 14,"₦ 165,000 - ₦ 170,000",,,"Hp Stream 14 Intel Celeron 4GB,64GB SSD HP Wireless  Mouse-Windows 10",,
Hp,Hp Notebook 15,"₦ 235,000",,,"Hp Notebook 15 Intel Corei3 1TB HDD, 8GB RAM  With Free Wireless Mouse& Usb Light",,
DELL,DELL LATITUDE 5400,"₦ 415,000","₦ 430,000",3%,DELL LATITUDE 5400 (FLEX3) COREI5 256GB 8GB 14’’ TOUCH,,
Hp,Hp G3 250,"₦ 230,000","₦ 257,000",11%,Hp G3 250 Intel Core I3 (4GB 500GB HDD) 15.6-Inch Win 8 Laptop - Black- 32GB Flash- Mouse- USB Light,,
Hp,Hp ENVY 13,"₦ 690,000",,,"Hp ENVY 13 X360,11TH GEN CORE I7,1TB SSD 8gbRAM,TOUCH,K/BOARD LIGHT,FP READER,WIN 10 + 3-in-1 Printer",,
DELL,DELL Inspiron 15,"₦ 310,000",,,DELL Inspiron 15 3000 - Intel Celeron Windows 10 Home,,
DELL,"DELL G3 MODEL:3500,15""","₦ 470,000",,,"DELL G3 MODEL:3500,15"" 10TH GEN CORE I5,512GB SSD 16GB RAM,4GB NVIDIA, BACKLIT KEYBOARD WIN 10 + 3IN1 PRINTER",,
Hp,Hp Pavilion 11,"₦ 245,000",,,"Hp Pavilion 11 X360 Intel Pentium (4GB,128GB SSD) 11.6"" Wins10",,
Hp,Hp Notebook 15,"₦ 220,000",,,"Hp Notebook 15 Intel Pentium Quad Core (8GB,1TB HDD+ BAG- 32GB Flash+ Mouse- USB Light For Keyboard) Windows 10 Laptop",,
DELL,DELL XPS 13,"₦ 550,000",,,"DELL XPS 13 7390:Core I5 1.6GHz Up To 4.2GHz 256GB SSD 8GB RAM,Touch,Keyboard Light,FP Reader Win10",,
Hp,Hp 15 Intel,"₦ 315,000","₦ 350,000",10%,Hp 15 Intel Core I5-10210U 8GB/1TB DVD-RW JET BLACK WIN 10,,
DELL,DELL Precision 3541,"₦ 399,000","₦ 490,000",19%,"DELL Precision 3541 Mobile Workstation 9th Gen Intel Core I5(256gb, 16gb, 4gb Nvidia Quadpro) Wins 10pro",1,5
Hp,Hp 15-NOTEBOOK PC,"₦ 308,000","₦ 328,000",6%,Hp 15-NOTEBOOK PC 10TH GEN INTEL CORE I5- 4GB RAM- 1TB HDD+128GB SSD-WIN 10,,
Hp,Hp PAVILION 15,"₦ 527,000",,,Hp PAVILION 15 C17 1TB 16GB 10TH GEN WIN 10 TOUCH 4GB NVIDIA,,
Hp,Hp Notebook 15,"₦ 250,000","₦ 270,000",7%,"Hp Notebook 15 Intel Core I3 2.4Ghz- 2TB HDD- 8GB RAM+ 32GB Flash, Mouse, USB Light For Keyboard 15 Inch DVD+RW Win 10",,
Hp,Hp 15 Intel,"₦ 214,000",,,"Hp 15 Intel Pentium Dual Core 500GB HDD, 4GB Ram,Bluetooth,webcam,Windows10 +32gb Flash Drive Red",,
Hp,Hp Stream 14,"₦ 158,000","₦ 190,000",17%,"Hp Stream 14 Celeron,4GBram/64GB SSD,Win 10+ 10000MAH POWERBANK",,
DELL,DELL Vostro 3401,"₦ 230,000",,,DELL Vostro 3401 14'' FHD(10th Gen Core I3 4GB RAM  1TB / Win10 PRO,,
Hp,Hp Notebook 15,"₦ 245,000",,,Hp Notebook 15 Intel Core I3 Laptop 15.6 Inch 12GB RAM 1TB HDD,,
Hp,Hp ENVY 13,"₦ 508,000",,,Hp ENVY 13  CORE 17 10TH GEN 8GB 512SSD TOUCH FINGER PRINT,,
Lenovo,Lenovo Ideapad ,"₦ 180,000",,,"Lenovo Ideapad  Intel Celeron 1TB 4GB RAM HDD 15.6"" Wins 10",,
DELL,DELL G3 GAMING,"₦ 440,825",,,DELL G3 GAMING CORE I5-10300H 512SSD 8GB 4GB NVIDIA WIN10,,
Lenovo,Lenovo Notebook 15,"₦ 247,000",,,"Lenovo Notebook 15 TouchScreen, Intel Pentium  1TB HDD,4GB RAM WIN10+32GB FLASH",,
Hp,Hp Stream 14,"₦ 158,000","₦ 190,000",17%,"Hp Stream 14 Celeron,4GBram/64GB SSD,Win 10+ 10000MAH POWERBANK",,
Asus,Asus ZENBOOK UX430UN,"₦ 580,500",,,"Asus ZENBOOK UX430UN Intel Core I7-8550U 1.8GHz,512gb Ssd/16gb,Nvidia MX150(2GB) Fingerprint Backlit,Window 10-GREY",,
Lenovo,Lenovo INTEL® CELERON®,"₦ 183,999","₦ 220,000",16%,Lenovo INTEL® CELERON® Lenovo 8GB RAM DDR4-1TB HDD WIN 10+USB LIGHT,,
Hp,Hp Pavilion 14,"₦ 360,000","₦ 395,000",9%,"Hp Pavilion 14 X360  Intel Core I5 (1TB HDD, 8GB) Windows 10 Laptop - Silver + Mouse",,
DELL,DELL Vostro 3401,"₦ 250,000",,,DELL Vostro 3401 14'' FHD(10th Gen Core I3 12GB RAM  1TB / Win 10 PRO,,
Hp,Hp ENVY 13,"₦ 569,750",,,Hp ENVY 13 X360 CORE 17 11TH GEN 8GB 512SSD TOUCH FINGER PRINT,,
Hp,Hp 15-NOTEBOOK PC,"₦ 368,000","₦ 430,000",14%,Hp 15-NOTEBOOK PC 10TH GEN INTEL CORE I5- 8GB RAM- 1TB HDD+512GB SSD-WIN 10,,
DELL,DELL LATITUDE 5300,"₦ 570,000",,,DELL LATITUDE 5300  I7-8th Gen 512GB SSD16GB RAM  Win10 Pro 2in1,,
Hp,Hp Pavilion X360,"₦ 350,000","₦ 400,000",13%,"Hp Pavilion X360 15.6"" Touch Convertible Laptop Intel Pentium, 2.3 GHz Processor, 4GB RAM, 1TB HDD",,
Asus,Asus T303U INTEL,"₦ 300,000",,,Asus T303U INTEL CORE I5 12.6INCHES 256GB:SSD 8GB:RAM WIN10,,
Lenovo,Lenovo Ideapad Intel,"₦ 278,500","₦ 360,000",23%,"Lenovo Ideapad Intel Core 15 (1TB HDD/8GB RAM) Wins 10 15.6""",,
Hp,Hp Pavilion 14,"₦ 370,000","₦ 430,000",14%,"Hp Pavilion 14 10th Gen Intel Core I5 ,8GB, 1TB, 2GB Nvidia Graphics,Backlit Keyboard Wins 10",,
DELL,"DELL G3 MODEL:3500,15""","₦ 430,000",,,"DELL G3 MODEL:3500,15"" 10TH GEN CORE I5,512GB SSD 8GB RAM,4GB NVIDIA,K/BOARD LIGHT,WIN 10",,
Hp,Hp 15 Intel,"₦ 284,000",,,"Hp 15 Intel Corei3( 1tb HDD, 8gb RAM,) Touchscreen Windows 10 +32GB Flash Drive,Back",,
Hp,Hp ENVY 13,"₦ 525,000",,,Hp ENVY 13 CI7 10TH GEN 8GB 512 TOUCHSCREEN WIN 10,,
Lenovo,Lenovo INTEL® CELERON®,"₦ 180,999","₦ 198,000",9%,Lenovo INTEL® CELERON® Lenovo 8GB RAM DDR4-1TB HDD WIN 10+USB LIGHT,,
DELL,DELL LATITUDE 5480,"₦ 323,000",,,DELL LATITUDE 5480 C15 8GB 256 WIN10 PRO ,,
KT107,KT107 Round Hole,"₦ 45,620","₦ 63,788",28%,KT107 Round Hole Tablet 10.1 Inch Android 8.10 8G+64G Black Black,,
Hp,Hp ENVY 13-X360,"₦ 558,500",,,"Hp ENVY 13-X360 CORE I7-1165G7, 11TH GEN 8GB 512SSD TOUCH,BACKLIT, FINGERPRINT",,
Lenovo,Lenovo INTEL® Core,"₦ 201,999","₦ 220,000",8%,Lenovo INTEL® Core I3® Lenovo 4GB RAM DDR4-1TB HDD WINDOWS 10 + BAG,,
Hp,Hp Pavilion 15,"₦ 345,000","₦ 365,000",5%,Hp Pavilion 15 X360 Intel Core 13 8gb Ram 1tb Hdd Touchscreen + 32gb Flashdrive,,
Hp,Hp Pavilion Gaming,"₦ 640,000",,,"Hp Pavilion Gaming 15 9th Gen  Intel Core I7,6gb Nvidia 16gb Ram,1TB+256GB SSD, Backlit Keyboard",,
Lenovo,"Lenovo THINKPAD T490S,8TH","₦ 645,000",,,"Lenovo THINKPAD T490S,8TH GEN Core I7 1TB SSD 8GB RAM,TOUCH,KEYBOARD LIGHT,FP READER,WIN 10 Pro",,
Asus,Asus ZENBOOK UX430UN,"₦ 580,500",,,"Asus ZENBOOK UX430UN Intel Core I7-8550U 1.8GHz,512ssd/16gb,Nvidia (2GB) ""14""(1920x1080) Window 10-GREY",,
Hp,Hp NOTEBOOK 15,"₦ 400,000",,,"Hp NOTEBOOK 15 CORE I7 10TH GEN, 256GB SSD 12GB RAM TOUCHSCREEN WIN 10",,
DELL,DELL Latitude 3310,"₦ 373,000","₦ 420,000",11%,DELL Latitude 3310 Convertible Core I5 256GB SSD 8GB WIN10 Pro,,
Lenovo,Lenovo Thinkpad L380,"₦ 450,000",,,"Lenovo Thinkpad L380 YOGA Intel Core I7 8thGen 1.8ghz,512 SSD, 8gb Ram,with Stylus Pen, Webcam Bluetooth,backlit Keyboard,13.3”touchscreen,convertible,win10pro",,
Hp,"Hp Notebook 11.6""","₦ 340,000",,,"Hp Notebook 11.6"" Touch-- Intel Corei7- 500Hard Drive- 16GB +4GB Dedicated RAM Windows 10-Silver",,
Hp,Hp 22-C0486NH ALL-IN-ONE,"₦ 301,400","₦ 374,000",19%,"Hp 22-C0486NH ALL-IN-ONE CI3-9100T,4gb 1tb 22'' 9CS03EA",,
Hp,Hp Elite Dragonfly,"₦ 774,000",,,"Hp Elite Dragonfly Multi-Touch 16GB 256GB 2-in-1 Laptop 13.3""",,
Hp,Hp Pavilion 15,"₦ 346,000",,,Hp Pavilion 15 - Intel Core I5 - 1TB HDD - 8GB RAM - TOUCHSCREEN- Window 10 -Ultra Slim Laptop- B&O Dual Speaker- HP External DVD  - Free USB Light For Keyboard+ Mouse+32GB Flash,,
Hp,Hp Notebook 15,"₦ 223,000","₦ 230,000",3%,"Hp Notebook 15 -Intel Core I3, 2.4Ghz, 1TB HDD, 4GB Ram+BAG-  32GB Flash, Mouse, USB Light For Keyboard- Webcam, Bluetooth, DVDRW, 15.6"", Win10",,
Lenovo,Lenovo 8th Generation,"₦ 208,000","₦ 235,000",11%,"Lenovo 8th Generation Intel Core I3 2.0Ghz (1TB,4GB)Windows 10 +32gb Flash",,
Hp,Hp 15 Intel,"₦ 212,000",,,"Hp 15 Intel Pentium Gold(4GB,500 HDD) Wins 10+Free Laptop Table",,
Hp,Hp Pavilion 15,"₦ 355,000",,,Hp Pavilion 15 Intel Core I5 1TB HDD 16GB RAM- Backlit Keyboard,,
Hp,"Hp 11.6""Intel Corei7-","₦ 400,000",,,"Hp 11.6""Intel Corei7- 500HDD-16GB +4 Dedicated RAM Win10-Silver ",,
Hp,Hp 250 G6,"₦ 230,000","₦ 255,000",10%,"Hp 250 G6  Core I3 ,500BB HDD 4GB RAM 15.6-Inch Win 10 + Mouse",,
Hp,Hp Pavilion X360,"₦ 359,999","₦ 385,000",6%,"Hp Pavilion X360 15 Intel Core I5 TOUCH (8GB RAM, 1TB HDD) 15.6-Inch Wins 10 + LED WATCH",,
Hp,Hp ENVY 13,"₦ 569,750",,,Hp ENVY 13 X360 CORE 17 11TH GEN 8GB 512SSD TOUCH FINGER PRINT,,
Lenovo,Lenovo ThinkPad Yoga,"₦ 500,000",,,"Lenovo ThinkPad Yoga X380, Intel Core I7-8TH GEN, (8GB DDR4, 256GB SSD) 13.3""-Inch FHD Multi Touch, Windows 10 Pro Laptop,fingerprint",,
Hp,"Hp 250 G7,","₦ 255,000",,,"Hp 250 G7, Intel Core I3, 1TB Hdd, 4GB Ram, Bluetooth, Webcam, Win 10, Plus Bag.",1,3
Hp,Hp 15 Intel,"₦ 250,000",,,"Hp 15 Intel Corei3( 1tb HDD, 4GB RAM,) 15.6 SCREEN Windows 10 +32GB Flash Drive Silver, Mouse",,
Hp,Hp 15 Intel,"₦ 283,000",,,"Hp 15 Intel Corei3 2.2GHZ (1tb HDD, 8GB RAM, DVD ) Touchscreen, Bluetooth, Webcam, Windows 10 +32GB Flash Drive Mouse(back )",,
Hp,Hp 250 Intel,"₦ 232,000","₦ 240,000",3%,"Hp 250 Intel Corei3 2.3Ghz 4GBRAM,1TBHDD Windows 10+Free Mouse",,
Hp,Hp Pavilion 15,"₦ 505,000","₦ 550,000",8%,"Hp Pavilion 15 Intel Core 17,16GB Optane, 8GB Ram, 1TB - 3GB NVIDIA Graphics,Win10",,
Hp,Hp Notebook 15,"₦ 245,000","₦ 250,000",2%,"Hp Notebook 15 Intel Core I3 (8GB RAM, 500GB HDD + Mouse USB Light 5.6-Inch Windows 10 Black",,
Hp,Hp Pavilion 15,"₦ 365,000",,,"Hp Pavilion 15 X360 Intel Core I5(8GB , 1TB ) 15.6-Inch Wins 10",,
Hp,Hp Pavilion 15,"₦ 355,000",,,Hp Pavilion 15 Intel Core I5 1TB HDD 12GB RAM- Backlit Key - 2.5GHz - Up To 3.1GHz -Win- 10-Touch Screen+ 32GB FLASH DRIVE,,
Hp,Hp Pavilion 15-cc123cl-Intel,"₦ 355,000",,,"Hp Pavilion 15-cc123cl-Intel Core I5, TOUCHSCREEN BACKLIT KEYBOARD B&O DUAL SPEAKER 1TB HDD 12GB RAM, Backlit Keyboard,Windows 10",,
Hp,Hp 15 Intel,"₦ 227,000",,,"Hp 15 Intel Corei3 2.3ghz 1tb HDD, 4GB RAM,Win10+mouse&usbled",,
Hp,Hp Notebook 15,"₦ 235,000","₦ 250,000",6%,Hp Notebook 15 Intel Core I3(8GB RAM 500GB HDD)Win 10+USB LIGHT,,
Lenovo,Lenovo Ideapad Intel,"₦ 285,500","₦ 300,000",5%,"Lenovo Ideapad Intel Core 15 (4GB/1TB HDD) Wins 10 15.6""",,
STREAM,STREAM 11 Intel,"₦ 137,500",,,STREAM 11 Intel Celeron D/C  4GB RAM- 32GB HDD WIN 10+ BAG,,
Hp,Hp 250 G7,"₦ 310,000",,,"Hp 250 G7 Intel Core I5  (8GB RAM,1TB HDD) Wins 10.",,
Hp,Hp Stream 11,"₦ 137,000",,,Hp Stream 11 Intel Celeron D/C  4GB RAM- 32GB Emmc WIN 10+ BAG,,
Lenovo,Lenovo FLEX 15,"₦ 480,000",,,Lenovo FLEX 15 CI7-8565U 1.8GHZ 512SSD 16GB RAM WIN 10,,
Hp,Hp Notebook -,"₦ 356,000",,,Hp Notebook - 15-bs089nia CORE I5-7200U 4GB/500GB AMD Radeon™ 520 Graphics (2 GB DDR3 Dedicated) Windows 10 Laptop,,
Hp,Hp 250 G6,"₦ 240,000","₦ 255,000",6%,"Hp 250 G6 Intel Core I3-6006U 2.0Ghz 1TB Hard Drive 4GB RAM 15 Inch DVD+RW Win 10 With 32gb Flash Drive,USB Light",,
Hp,Hp Notebook 15,"₦ 234,000",,,"Hp Notebook 15 Intel Core I3 (8GB RAM, 1TB HDD-WIN 10- 10TH GEN",,
Hp,Hp STREAM 11,"₦ 137,000","₦ 188,000",27%,Hp STREAM 11 CELERON® 4GB RAM 32GB WIN 10+10000mah PowerBank,,
Hp,Hp ENVY 17,"₦ 640,500",,,Hp ENVY 17 10TH GEN 16GB 1TB+256SSD 4GB NVIDIA WIN 1O TOUCH,,
Hp,Hp Envy 13,"₦ 590,000",,,"Hp Envy 13 Intel Core I7(512GB SSD,16GB RAM 2GB Nvidia Graphics )Backlit/ Touch 13.3"" Wins 10",,
DELL,DELL XPS 13-7390,"₦ 600,000",,,"DELL XPS 13-7390 2-IN-1,10TH GEN CORE I5-1035G1,256gbSSD 8gbRAM,13"" FHD TOUCH,BACKLIT,FP READER,WIN 10 + 3IN1 PRINTER",,
DELL,DELL Latitude E7400,"₦ 595,000",,,"DELL Latitude E7400  I7 16GB RAM, 512GB SSD, Win 10pro 14inch",,
Hp,Hp Notebook -,"₦ 230,000",,,"Hp Notebook - 15-bs061nia - Intel® Core™ I3 (2 GHz, 3 MB Cache, 2 Cores),32GB Flash,Mouse, 15.6"" Diagonal HD Display, 4GB  SDRAM, Intel® HD Graphics 520, 1TB",,
500W,500W PC Power,"₦ 6,239","₦ 12,478",50%,500W PC Power Supply 24 Pin  ATX SATA Computer 120mm Silent LED Cooling Fan-Black (black),,
Hp,Hp Pavilion 15,"₦ 365,000",,,"Hp Pavilion 15 X360 Intel Core I5 -1.6 Upto 3.4Ghz(1TB, 8GB RAM) Touch Screen, Wins 10",,
DELL,DELL Inspiron 15,"₦ 430,000",,,DELL Inspiron 15  3593 15.6'' Full HD Touchscreen Intel Core I7-16GB RAM 512GB,,
Hp,Hp Pavilion X360,"₦ 360,000","₦ 385,000",6%,"Hp Pavilion X360 15 Intel Core I5 TOUCH (8GB RAM, 1TB HDD) 15.6-Inch Wins 10",,
Hp,Hp 5 Intel,"₦ 284,000",,,"Hp 5 Intel Corei3 1tb HDD, 8gb RAM, Touchscreen Windows 10 +32GB Flash Drive",1,4
DELL,DELL Inspiron 15,"₦ 425,000",,,"DELL Inspiron 15 3593,Core I7-1065G7,512gb SSD 12gb RAM,Touchscreen,Win 10",,
Asus,Asus Q536FD-BI7T15 2-in-1:,"₦ 611,500",,,"Asus Q536FD-BI7T15 2-in-1: Core I7-8565U, 16 GB, 2TB HDD+256GB SSD,, 15.6"" UHD Touchscreen, 2GB NVIDIA",,
Hp,Hp 15-BS089NIA NOTEBOOK,"₦ 240,000",,,Hp 15-BS089NIA NOTEBOOK CORE I5 500/4GB WINS 10 + 32gb Flash Drive,,
Hp,Hp ProBook X360,"₦ 190,000",,,Hp ProBook X360 11 Touch Screen Intel Pentium 128gb SSD 4gb Ram Win 10 Pro,,
XIAOMI,XIAOMI Air 2019,"₦ 461,740","₦ 554,088",17%,XIAOMI Air 2019 13.3 Inch Laptop Windows 10 Intel Core I5-8250U 1.6GHz 8GB RAM 256GB SSD Fingerprint Sensor 1.0MP Camera-SILVER,,
DELL,DELL Latitude 9510:Core,"₦ 645,000",,,"DELL Latitude 9510:Core I7-10810U 1.1GHz 16GB 512GB 15"" Win10Pro",,
Hp,Hp Stream 11,"₦ 137,000","₦ 146,500",6%,Hp Stream 11 Intel Celeron D/C  4GB RAM- 32GB HDD WIN 10+ BAG,,
Hp,Hp 250 G6,"₦ 235,000","₦ 240,000",2%,"Hp 250 G6 Intel Core I3 2.0GHz (4GB,500GB HDD) 15.6-Inch Windows 10 Plus Free Flash Drive",,
Hp,Hp Spectre 15,"₦ 806,250",,,Hp Spectre 15 10th Gen 512SSD+32GB Optane 16gb 4K DISPLAY,,
DELL,DELL Vostro 3401,"₦ 240,000",,,DELL Vostro 3401 14'' FHD(10th Gen Core I3 8GB RAM  1TB / Win10 PRO,,
Hp,Hp Pavilion 15,"₦ 345,000",,,Hp Pavilion 15 - Intel Core I5 - 1TB HDD - 8GB RAM - TOUCHSCREEN- Window 10 -Ultra Slim Laptop- B&O Dual Speaker- HP External DVD  - Free USB Light For Keyboard+ Mouse+32GB Flash,,
Hp,Hp Pavilion 14,"₦ 440,000","₦ 460,000",4%,"Hp Pavilion 14 Intel Core I7,1TB,8GB,Backlit Keyboard, 4GB Nvidia Graphics Wins 10",,
Hp,Hp ELITEBOOK 840,"₦ 640,000",,,"Hp ELITEBOOK 840 G6 8TH GEN INTEL CORE I7,512GB SSD,32GB RAM,14 INCH,WINDOWS 10 PRO.+CD ROM",,
Hp,Hp Elitebook 840,"₦ 525,000",,,Hp Elitebook 840 G6 Intel Core I7 512GB SSD 16GB RAM Windows 10,,
DELL,DELL Latitude 9410,"₦ 685,000",,,DELL Latitude 9410 Convertible Core I7 10th Gen 512SSD 16GB,,
Hp,Hp Notebook 15,"₦ 250,000","₦ 270,000",7%,"Hp Notebook 15 Intel Core I3 2.4Ghz- 2TB HDD- 8GB RAM+ 32GB Flash, Mouse, USB Light For Keyboard 15 Inch DVD+RW Win 10",,
Lenovo,Lenovo Ideapad Intel,"₦ 166,900","₦ 180,000",7%,"Lenovo Ideapad Intel Celeron (4gbRam,500Hdd)Windows 10 ",,
Hp,Hp 5 Intel,"₦ 223,000","₦ 230,000",3%,"Hp 5 Intel Core I3 2.4Ghz 1TB HDD 4GB RAM+ 32GB Flash, Mouse, USB Light For Keyboard 15 Inch DVD+RW Win 10",3,4
Hp,Hp ENVY 13,"₦ 420,000",,,Hp ENVY 13 10th Gen Core I5 256GB SSD  8GB RAM FingerPrint Reader Backlit Keyboard Windows 10,,
Lenovo,Lenovo Ideapad Intel,"₦ 208,000",,,Lenovo Ideapad Intel Core I3 - 8GB RAM -1TB HDD WIN 10 + 32GB Flash,,
DELL,DELL INSPIRON 5593,"₦ 390,000","₦ 400,000",3%,DELL INSPIRON 5593 CORE I5 512GB 8GB 10TH GEN 15.6’’ NON-TOUCH,,
Hp,Hp Pavilion 15,"₦ 433,000",,,Hp Pavilion 15 X360 Intel Core I5 8gb/1tb+16gb Optane 2gb Graphics(2q935ea),,
Hp,Hp Pavilion 15,"₦ 288,000",,,"Hp Pavilion 15 Intel Core I3 2.5GHz (8GB RAM,1TB HDD) 15.6-Inch Windows 10 Laptop + 32gb Flash Drive",,
Hp,"Hp 15 Touch,Intel","₦ 250,000",,,"Hp 15 Touch,Intel Pentium 1TB HDD,4GB RAM WIN10 Touch Screen + 32GB Flash Drive",,
Portable,Portable 4G Wireless,"₦ 20,399","₦ 40,798",50%,Portable 4G Wireless Mobile WiFi Hotspot Router Modem 2050mAh Long Standby Battery 150Mbps High Speed Support 10 Device Secure Internet Access-Six Mode Energy Saving,,
Hp,Hp Pav 15,"₦ 355,000","₦ 380,000",7%,"Hp Pav 15 10th Gen Ci5,1TB, 12GB, Luminous Backlit Keyboard Wins 10 ",,
Hp,Hp Pavilion 13,"₦ 305,000",,,"Hp Pavilion 13 Intel Core I3,256GB,4GB, Backlit Keyboard Wins 10",,
Lenovo,Lenovo FLEX 15,"₦ 403,000",,,Lenovo FLEX 15 CI7-8565U 1.8GHZ 512SSD 8GB RAM WIN 10 ,2,5
Hp,Hp Elitebook 850,"₦ 490,000",,,Hp Elitebook 850 G7 10th Gen Intel I5 256 8gb,,
Hp,Hp 15 Intel,"₦ 219,000","₦ 228,000",4%,"Hp 15 Intel Pentium Silver (1TB HDD, 4GB RAM,Wins10",,
DELL,DELL Vostro 15,"₦ 232,000","₦ 290,000",20%,DELL Vostro 15 Intel Core I3-2.0Ghz(4GB RAM 1TB HDD) 15.6 Wins 10 Professional ,,
DELL,DELL G5 5500,"₦ 580,000",,,"DELL G5 5500 GAMING LAPTOP,15.6"" 10TH GEN CORE I7,512gbSSD 16gbRAM,4GB NVIDIA,BACKLIT,WIN 10+PRINTER",,
Hp,Hp Intel Core,"₦ 330,000",,,Hp Intel Core I5 -10210U Touchscreen -10th Gen - 8GB RAM - 1TB HDD - Win10 + MOUSE,,
Hp,Hp 15 Intel,"₦ 270,000","₦ 300,000",10%,"Hp 15 Intel Core I3 Touch 8GB RAM, 256 SSD-Windows 10+MOUSE",,
Hp,Hp Stream 14-intel,"₦ 165,500","₦ 200,000",17%,"Hp Stream 14-intel Celeron,4GB RAM 64GB EMMC,Win 10+ USB LIGHT",,
Hp,Hp Stream 11,"₦ 136,999",,,Hp Stream 11 Intel Celeron D/C  4GB RAM- 32GB HDD WIN 10+ BAG,,
DELL,DELL LATITUDE E7300,"₦ 398,500",,,"DELL LATITUDE E7300 8Th  Corei5,1.6GHz,256GB SSD,8GB ,Win10pro",,
Lenovo,Lenovo ThinkPad Yoga,"₦ 470,000",,,"Lenovo ThinkPad Yoga X380, Intel Core I7-8TH GEN, (8GB DDR4, 256GB SSD) 13.3""-Inch FHD Multi Touch, Windows 10 Pro Laptop",,
Lenovo,Lenovo 8th Gen,"₦ 200,000",,,"Lenovo 8th Gen Intel Core I3 2.0Ghz (4gbRam,1TB Hdd)Windows 10 +Mouse",,
Replacement,Replacement LCD Display,"₦ 1,244","₦ 1,742",29%,Replacement LCD Display FPC Plug Connector For Ipad Mini 1 2 3,,
